"Source:","/home/astroelectronica/kicad/projects/AE01.12.09.010/pcb/AE01.12.09.010.sch"
"Date:","dom 14 nov 2021 13:32:15 CET"
"Tool:","Eeschema 5.1.12-84ad8e8a86~92~ubuntu16.04.1"
"Component Count:","44"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","1uF/10V","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","~","",""
"C2","220pF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C3","10uF/50V","Capacitor_Tantalum_SMD:CP_EIA-7260-38_AVX-R","~","",""
"C4","100nF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C5","10uF/50V","Capacitor_Tantalum_SMD:CP_EIA-7260-38_AVX-R","~","",""
"C6","10uF/50V","Capacitor_Tantalum_SMD:CP_EIA-7260-38_AVX-R","~","",""
"CONN1","VIN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","",""
"CONN2","BATT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","",""
"D1","MBRS340T3","Diode_SMD:D_SMC","~","",""
"D2","MBRS340T3","Diode_SMD:D_SMC","~","",""
"D3","LED_ALT","LED_SMD:LED_0805_2012Metric","~","",""
"D4","CCLHM080","Diode_SMD:D_MiniMELF","~","",""
"FID1","Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","",""
"FID2","Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","",""
"FID3","Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","",""
"H1","M3","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","",""
"H2","M3","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","",""
"H3","M3","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","",""
"H4","M3","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","",""
"JP1","Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"JP2","Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"L1","DO3340","footprints:DO3340P-223MLB","~","",""
"LOGO1","SYM_ESD_Small","Symbol:ESD-Logo_6.6x6mm_SilkScreen","~","",""
"LOGO2","Logo_Open_Hardware_Small","Symbol:OSHW-Logo_5.7x6mm_SilkScreen","~","",""
"LOGO3","WEEE","Symbol:WEEE-Logo_4.2x6mm_SilkScreen","~","",""
"LOGO4","KICAD","Symbol:KiCad-Logo2_5mm_SilkScreen","~","",""
"M1","IRFR9024","Package_TO_SOT_SMD:TO-252-2","~","",""
"Q1","CMPTA06","Package_TO_SOT_SMD:SOT-23","~","",""
"Q2","MMBT2907ALT1","Package_TO_SOT_SMD:SOT-23","~","",""
"Q3","CMPTA06","Package_TO_SOT_SMD:SOT-23","~","",""
"Q4","CMPTA06","Package_TO_SOT_SMD:SOT-23","~","",""
"R1","DNP","Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P30.48mm_Horizontal","~","",""
"R2","5.1K","Resistor_SMD:R_0805_2012Metric","~","",""
"R3","0.25R","Resistor_SMD:R_2512_6332Metric","~","",""
"R4","1.5K","Resistor_SMD:R_0805_2012Metric","~","",""
"R5","470R","Resistor_SMD:R_0805_2012Metric","~","",""
"R6","DNP","Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P30.48mm_Horizontal","~","",""
"R7","68K","Resistor_SMD:R_0805_2012Metric","~","",""
"R8","22K","Resistor_SMD:R_0805_2012Metric","~","",""
"SW1","SW1","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","",""
"SW2","SW2","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","",""
"SW3","SW3","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","",""
"SW4","SW4","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","",""
"U1","MAX713CSE","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","~","",""
